Model,Accuracy,F1,Precision,Recall,MCC,kappa
"DeBERTa,Albert,GPT2",0.9882352941176472,0.9882295117467772,0.988295406019197,0.9882352941176472,0.978243753130074,0.978216299333675
"DeBERTa,T5,GPT2",0.9882352941176472,0.9882295117467772,0.988295406019197,0.9882352941176472,0.978243753130074,0.978216299333675
"DeBERTa,Albert,Pythia",0.9882352941176472,0.9882295117467772,0.988295406019197,0.9882352941176472,0.978243753130074,0.978216299333675
"DeBERTa,T5,Pythia",0.9882352941176472,0.9882295117467772,0.988295406019197,0.9882352941176472,0.978243753130074,0.978216299333675
"DeBERTa,T5,Albert",0.9882352941176472,0.9882295117467772,0.988295406019197,0.9882352941176472,0.978243753130074,0.978216299333675
"DeBERTa,GPT2,Pythia",0.9882352941176472,0.9882295117467772,0.988295406019197,0.9882352941176472,0.978243753130074,0.978216299333675
DeBERTa-v3-base,0.9852941176470589,0.985291613247503,0.9804337846238579,0.9785319080159072,0.9727905671894386,0.9727866110126182
"T5,Albert,Pythia",0.9794117647058824,0.9794864756856806,0.9797897946285152,0.9794117647058824,0.9614375413674456,0.9613525001116392
"T5,GPT2,Pythia",0.9779411764705882,0.978022614174162,0.9783318481421004,0.9779411764705882,0.9587328250990584,0.9586351212153164
"Bart,T5,Pythia",0.976470588235294,0.9762981287189432,0.9764799147316172,0.976470588235294,0.9564501093283893,0.9563353827877932
"T5,Albert,GPT2",0.976470588235294,0.976561219529134,0.9768909226398398,0.976470588235294,0.9560423725402172,0.9559234007040912
"Bart,T5,Albert",0.975,0.9748579875539664,0.9751014517857884,0.975,0.9537757436618974,0.9536532170119956
"Bart,T5,GPT2",0.975,0.9748579875539664,0.9751014517857884,0.975,0.9537757436618974,0.9536532170119956
"Bart,Albert,GPT2",0.975,0.9748579875539664,0.9751014517857884,0.975,0.9537757436618974,0.9536532170119956
"Bart,Albert,Pythia",0.975,0.9748579875539664,0.9751014517857884,0.975,0.9537757436618974,0.9536532170119956
"Bart,GPT2,Pythia",0.975,0.9748579875539664,0.9751014517857884,0.975,0.9537757436618974,0.9536532170119956
GPT-2,0.9735294117647059,0.9734343615292551,0.9651353615721022,0.9644749717467406,0.95099081901049,0.950878882735372
"Bart,DeBERTa,Albert",0.9705882352941176,0.9704840914709384,0.971022397640792,0.9705882352941176,0.945784950389602,0.9455684296892196
"Bart,DeBERTa,T5",0.9705882352941176,0.9704840914709384,0.971022397640792,0.9705882352941176,0.945784950389602,0.9455684296892196
"Bart,DeBERTa,Pythia",0.9705882352941176,0.9704840914709384,0.971022397640792,0.9705882352941176,0.945784950389602,0.9455684296892196
"Bart,DeBERTa,GPT2",0.9705882352941176,0.9704840914709384,0.971022397640792,0.9705882352941176,0.945784950389602,0.9455684296892196
"Albert,GPT2,Pythia",0.9705882352941176,0.9705760097945628,0.970794287271754,0.9705882352941176,0.9453370546122356,0.9452570904143556
BART-base,0.9691176470588235,0.9691804459007124,0.9509861605180437,0.959887732447271,0.9431571361694318,0.9429044369010063
T5-base,0.9661764705882353,0.9659409620189539,0.962307261988608,0.9491928400852986,0.937136562827468,0.9368384493920094
ALBERT,0.9602941176470589,0.9602102725856332,0.9519392573923448,0.9470899769212843,0.9263416656260286,0.9263106351894812
Pythia,0.925,0.9249594289793551,0.8917856045239413,0.9076995456925996,0.864014593404265,0.8613271487694184
